path,text
../raw_data/wavs/voice-0001.wav,"Khi bệnh nhân gặp các triệu chứng như buồn nôn, nôn, tiêu chảy và táo bón trong quá trình sử dụng L-Cystine, cơ chế sinh lý nào khiến các tác dụng phụ này xảy ra?"
../raw_data/wavs/voice-0002.wav,"Trong điều trị bệnh vẩy nến, methotrexate nhắm vào cơ chế tăng sinh tế bào biểu mô khác biệt như thế nào so với các mô bình thường để tạo ra tác dụng điều trị bền vững?"
../raw_data/wavs/voice-0003.wav,Talniflumate được cảnh báo nguy cơ chảy máu dạ dày khi kết hợp với rượu bia; hãy giải thích cơ chế sinh bệnh học của tương tác này dựa trên hoạt tính ức chế prostaglandin.
../raw_data/wavs/voice-0004.wav,Tương tác dược lý giữa Flunarizine và các thuốc ức chế enzym CYP2D6 có thể gây ra hậu quả gì?
../raw_data/wavs/voice-0005.wav,"Cơ chế sinh học nào giải thích cho việc sử dụng guanabenz có thể làm giảm chuyển hóa của acenocoumarol, và liên kết protein huyết tương của guanabenz có vai trò gì trong tương tác dược động học này?"
../raw_data/wavs/voice-0006.wav,"Về cơ chế phân tử, Sofosbuvir triphosphat (GS-461203) ức chế sự nhân lên của virus HCV bằn g cách can thiệp trực tiếp vào yếu tố nào của enzyme RNA polymerase?"
../raw_data/wavs/voice-0007.wav,"Mặc dù Acid boric là một chất sát khuẩn tại chỗ weak acid, tại sao nó vẫn được sử dụng làm chất đệm (buffer) trong các chế phẩm thuốc nhỏ mắt?"
../raw_data/wavs/voice-0008.wav,"Trong bối cảnh dược lý, sự khác biệt giữa liều lượng RDA (nhu cầu hàng ngày) cho nam và nữ trưởng thành quy định trong văn bản có liên quan trực tiếp đến yếu tố chuyển hóa nào?"
../raw_data/wavs/voice-0009.wav,Tại sao Sumatriptan được chỉ định đặc biệt cho bệnh nhân buồn nôn và nôn trong cơn đau nửa đầu khi sử dụng dạng phun mũi so với dạng viên uống?
../raw_data/wavs/voice-0010.wav,Vì sao cần phải điều trị bù nước và điện giải cũng như ngừng thuốc lợi tiểu 2-3 ngày trước khi bắt đầu dùng Imidapril cho bệnh nhân có nguy cơ tụt huyết áp liều đầu?
../raw_data/wavs/voice-0011.wav,"Việc điều trị kéo dài bằng Dexamethasone gây teo cơ và loãng xương, đây là những dấu hiệu của tác dụng phụ thuộc glucocorticoid nào?"
