path,text
wavs/voice-0121.wav,Ivabradine gây chậm nhịp tim bằng cách đặc hiệu ức chế dòng ion If. Dòng ion này nằm ở vị trí nào trên tế bào cơ tim và nó ảnh hưởng trực tiếp đến giai đoạn nào của điện thế?
wavs/voice-0122.wav,"Dựa trên công thức dược động học thám tích (kinetic exploration): Carboplatin có độ thanh thải (Cl) phụ thuộc vào độ thanh thải creatinin (Ccr), trong khi Cisplatin lại không. Khi so sánh cơ chế loại bỏ (elimination) này, Carboplatin có ưu điểm và nhược điểm thế nào so với Cisplatin về mặt quản lý liều lượng ở bệnh nhân suy thận, và tại sao công thức tính liều Chatelut đặc hiệu cho Carboplatin?"
wavs/voice-0123.wav,Vì sao bệnh nhân suy thận (CrCl 10 đến 40 mL/phút) cần điều chỉnh liều lomefloxacin xuống còn 200 mg mỗi ngày một lần sau liều nạp 400 mg?
wavs/voice-0124.wav,"Tỷ lệ sinh khả dụng toàn thân của olsalazine là bao nhiêu phần trăm, và cơ chế dược động học nào giải thích cho nồng độ thuốc cao tại ruột kết?"
wavs/voice-0125.wav,"Ngoài việc chống chỉ định ở bệnh nhân không dung nạp fructose bẩm sinh, Irinotecan còn bị chống chỉ định sử dụng chung với loại thảo dược nào làm giảm hiệu quả điều trị?"
wavs/voice-0126.wav,"Tại sao Valganciclovir bị chống chỉ định tuyệt đối ở những phụ nữ đang trong giai đoạn cho con bú, ngay cả khi chưa có dữ liệu lâm sàng rộng rãi xác nhận tính bài tiết qua sữa mẹ?"
wavs/voice-0127.wav,"Trong điều trị viêm da, sự khác biệt về chỉ định giữa kem Fluticasone (thích hợp cho bề mặt ẩm hoặc rỉ nước) và thuốc mỡ Fluticasone (thích hợp cho da khô, vết thương có vảy) dựa trên đặc tính nào?"
wavs/voice-0128.wav,"So với đường tiêm bắp, những bất lợi nào của đường tiêm bắp Oxytetracycline so với đường uống?"
wavs/voice-0129.wav,Tại sao Clotrimazole có phổ tác dụng kháng khuẩn đối với một số vi khuẩn Gram dương và Gram âm nhưng lại có giá trị lâm sàng hạn chế trong điều trị nhiễm khuẩn so với kháng nấm?
wavs/voice-0130.wav,"Ngoài việc quá mẫn với protein heo, bệnh nhân có tiền sử loét dạ dày tá tràng khi điều trị bằng corticotropin cần lưu ý gì?"
wavs/voice-0131.wav,"Trong bối cảnh sử dụng Tolvaptan cho bệnh nhân ADPKD trên 55 tuổi, dữ liệu lâm sàng về độ an toàn và hiệu quả bị hạn chế. Tuy nhiên, về mặt dược động học, tại sao bệnh nhân cao tuổi không cần điều chỉnh liều so với người lớn tuổi trung bình?"
wavs/voice-0132.wav,Liều lượng cyclobenzaprine cho bệnh nhân suy gan nhẹ khi sử dụng dạng viên phóng thích tức thời cần phải tuân thủ nguyên tắc nào để đảm bảo an toàn?
wavs/voice-0133.wav,Khi nào thì việc chỉ định niacin liều cao trở thành chống chỉ định tuyệt đối ở bệnh nhân có tiền sử men gan tăng?
wavs/voice-0134.wav,Điều gì xảy ra với chất chuyển hóa trung gian N-acetyl-p-benzoquinoneimine trong cơ thể khi một bệnh nhân bình thường sử dụng Paracetamol ở liều điều trị?
wavs/voice-0135.wav,"Đối với bệnh nhân bị nhiễm độc thai nghén đang sử dụng magnesium sulfate, tại sao cần phải giảm liều pancuronium và cơ chế tương tác thuốc nào dẫn đến hiện tượng này?"
wavs/voice-0136.wav,"Trên phụ nữ mang thai, Ammonium chloride được xếp vào nhóm nào về độ an toàn thai kỳ dựa trên dữ liệu nghiên cứu động vật?"
wavs/voice-0137.wav,Biện pháp nào là cần thiết để xử lý tình trạng kiềm hóa máu thường gặp trong trường hợp quá liều Hydrochlorothiazide?
wavs/voice-0138.wav,"Theo phân loại thai kỳ, Risperidone chống chỉ định tuyệt đối trong giai đoạn nào?"
wavs/voice-0139.wav,Sự khác biệt về mãn đồng hồ tác dụng và khả năng giữ ổn định hoạt động của tế bào mast giữa Epinastine và các kháng histamin không ổn định tế bào mast khác là gì?
wavs/voice-0140.wav,"Chưa có dữ liệu lâm sàng đầy đủ, nhưng dựa trên đặc điểm động lực học, Pralidoxime có khả năng vượt qua hàng rào nhau thai và phân bố vào thai nhi hay không?"
wavs/voice-0141.wav,Liên kết protein huyết tương (>99%) của Des-ciclesonide chủ yếu phụ thuộc vào hai loại protein nào?
wavs/voice-0142.wav,"Tại sao Salmeterol được chỉ định dùng phối hợp bắt buộc với corticosteroid hít trong điều trị hen mạn tính, trong khi thuốc kích thích β2 giao cảm tác dụng ngắn (SABA) có thể được dùng đơn lẻ?"
wavs/voice-0143.wav,Azithromycin được chỉ định điều trị dự phòng tiên phát nhiễm complex Mycobacterium avium (MAC) ở đối tượng nào?
wavs/voice-0144.wav,Tác dụng bất lợi nào trên hệ tiêu hóa thường gặp ở bệnh nhân sử dụng Dexibuprofen bắt nguồn từ cơ chế ức chế tổng hợp prostaglandin?
wavs/voice-0145.wav,"So sánh sự ảnh hưởng của dịch vị acid dạ dày lên khả năng hấp thu Levothyroxine giữa việc dùng thuốc khi bụng đói và khi ăn no. Dựa trên đặc điểm này, bệnh nhân nên tuân thủ hướng dẫn dùng thuốc như thế nào để đảm bảo sinh khả dụng?"
wavs/voice-0146.wav,"Trong quá trình chuyển hóa dược điển, perindopril được khử ester chủ yếu tại cơ quan nào để tạo thành chất chuyển hóa có hoạt tính dược lý là perindoprilat?"
wavs/voice-0147.wav,So sánh tỷ lệ bài tiết của lomefloxacin dưới dạng thuốc không chuyển hóa (thuần túy) so với chất chuyển hóa glucuronid qua nước tiểu trong vòng 72 giờ sau khi dùng thuốc.
wavs/voice-0148.wav,"Nếu bệnh nhân dùng quá liều olsalazine gây nên tình trạng acid-base imbalance và tổn thương thận cấp, các chỉ số huyết học và điện giải nào cần được ưu tiên kiểm tra?"
wavs/voice-0149.wav,"Dựa trên đặc tính dược lực học là một dẫn xuất piperidine, cơ chế nào giải thích cho tác dụng an thần kéo dài và đồng thời là kháng muscarinic của Azatadine?"
wavs/voice-0150.wav,"Ngoài việc kích thích tế bào oxyntic, Pentagastrin còn gây ra hiệu ứng sinh lý gì đối với cơ trơn đường tiêu hóa?"
wavs/voice-0151.wav,"Nếu nhận thấy dấu hiệu methemoglobin huyết sau khi dùng thuốc quá liều Glyceryl trinitrate, dược chất nào là giải pháp điều trị đặc hiệu được chỉ định tiêm?"
wavs/voice-0152.wav,Oxytetracycline có thể làm tăng tác dụng của warfarin bằng cơ chế nào?
wavs/voice-0153.wav,"Cơ chế sinh học nào của Rasburicase giải thích cho nguy cơ gây tán huyết ở bệnh nhân thiếu hụt G6PD, liên quan trực tiếp đến sản phẩm phụ của quá trình oxy hóa acid uric?"
